term,phrase,tag1,tag2,tag3,tag4,tag5,tag6,meaninglanguage1,meaning1,meaninglanguage2,meaning2
첫째를,"…전에 가고, 결혼 후에 첫째를 데리고 갔었거든요.( 네.)",,,,,,,en,First,,
둘째는,"…나서, 열이 40 도? 둘째는 좀... 41 도까지 올라간…",,,,,,,en,The second,,
그땐,"…식으로 교육을 하긴 했는데, 그땐 진짜 무서웠어요.",,,,,,,en,Back then,,
시간표를,우선 나는 버스 시간표를 확인했다.,,,,,,,en,bus schedule,,
시동이,그래서 나의 차는 시동이 걸리지 않는 것이었다.,,,,,,,en,ignition,,
무릎이,발목 하고 무릎이 너무 아파서 잘 못…,,,,,,,en,knees,,
달리기예요,…안 좋아하는 운동은 등산과 달리기예요.,,,,,,,en,running,,
휴먼,휴먼 드라마는 주인공들과 함께 웃고…,,,,,,,en,human,,
제대로,"제대로 된 마을 이름은 없지만,",,,,,,,en,as it is; as it should; as one please; in one's own way; intactuntouched; smoothly; without a hitch; in orderly fashion,,
예상할,스토리를 예상할 수 없었어요.,,,,,,,en,anticipate,,
효과적으로,더 효과적으로 그리고 더 빨리 공부하고…,,,,,,,en,[效果的] effectively,,
듣던,듣던 중 반가운 소리군.,,,,,,,en,Heard,,
나자,전화를 끊고 나자 기분이 묘했다.,동사,나다,동사,나다,,,en,I hung up,,
묘했다,전화를 끊고 나자 기분이 묘했다.,,,,,,,en,was strange,,
투숙객으로,…전에는 내가 이 호텔 투숙객으로 여기 왔었는데 오늘은 튜브에…,,,,,,,en,As a guest,,
동물의,휴대폰 너머로 들리는 동물의 음성 같은 어눌한 말투는…,,,,,,,en,animal's,,
보니까,…힘들어 가지고. 그래서 생각해 보니까 몇 년 전에 그…,,,,,,,en,because see,,
구독해,"굉장히 많은 분들이 구독해 주시고, 또 좋아해 주셨습니다.",,,,,,,en,Subscribe,,
스스로,그래서 저는 그렇게 스스로 잠 안 자고 했지만…,,,,,,,en,on my own,,
깨우치셨어야죠,그걸 10 년 전에 깨우치셨어야죠.,,,,,,,en,you should have realized,,
올라갈,…두 번째로 이 채널에 올라갈 영상을 가지고 왔는데요.,동사,올라가다,동사,올라가다,,,en,increase,,
남쪽,난 남쪽 오비오라고 불러.,,,,,,,en,South,,
씨한테까지,"…자고 했지만 제가 경은 씨한테까지( 아, 그렇죠, 그렇죠.) 그런…",,,,,,,en,to you,,
강요하진,…그렇죠.) 그런 걸( 네.) 강요하진 않았잖아요.,,,,,,,en,I didn't force,,
다음으로,그 다음으로 등장인물이 매력적이에요.,,,,,,,en,next,,
군대에,한국에서는 모든 남자가 군대에 가야 해요.,,,,,,,en,to the military,,
군대에서,사람들이 가끔 군대에서 도망을 가요.,,,,,,,en,in the military,,
